,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
136,461,Germany,Female,34,5,63663.93,1,0,1,167784.28,0,0,1,SILVER,497
140,756,Germany,Male,44,10,137452.09,1,1,0,189543.9,0,0,5,PLATINUM,965
159,631,Germany,Female,33,4,123246.7,1,0,0,112687.57,0,0,3,SILVER,662
165,660,Germany,Male,31,9,125189.75,2,1,1,139874.43,0,0,5,GOLD,612
166,704,Germany,Female,24,7,113034.22,1,1,0,162503.48,1,1,2,PLATINUM,801
169,682,Germany,Male,24,9,57929.81,2,0,0,53134.3,0,0,5,SILVER,643
171,628,Germany,Male,27,5,95826.49,2,1,0,155996.96,0,1,2,SILVER,818
172,480,Germany,Male,44,10,129608.57,1,1,0,5472.7,1,1,1,GOLD,775
177,606,Germany,Male,36,5,190479.48,2,0,0,179351.89,0,0,5,PLATINUM,929
179,754,Germany,Female,55,3,161608.81,1,1,0,8080.85,1,1,4,GOLD,810
182,778,Germany,Female,45,1,162150.42,2,1,0,174531.27,0,0,2,DIAMOND,250
189,687,Germany,Female,34,7,111388.18,2,1,0,148564.76,0,0,4,GOLD,570
197,721,Germany,Male,37,3,107720.64,1,1,1,158591.12,0,0,1,PLATINUM,478
210,689,Germany,Male,33,2,161814.64,2,1,0,169381.9,0,0,3,PLATINUM,292
214,572,Germany,Male,26,4,118287.01,2,0,0,60427.3,0,0,4,DIAMOND,958
215,668,Germany,Male,47,7,106854.21,1,0,1,157959.02,1,1,3,GOLD,629
224,671,Germany,Male,45,6,99564.22,1,1,1,108872.45,1,1,3,PLATINUM,901
227,547,Germany,Female,39,6,74596.15,3,1,1,85746.52,1,1,4,SILVER,790
228,751,Germany,Male,50,2,96888.39,1,1,0,77206.25,1,1,2,DIAMOND,756
229,594,Germany,Female,29,3,130830.22,1,1,0,61048.53,0,0,4,GOLD,873
233,767,Germany,Male,20,3,119714.25,2,0,1,150135.38,0,0,4,DIAMOND,535
235,763,Germany,Male,42,6,100160.75,1,1,0,33462.94,1,1,3,GOLD,709
237,539,Germany,Female,43,3,116220.5,3,1,0,55803.96,1,1,4,DIAMOND,264
241,725,Germany,Female,39,5,116803.8,1,1,0,124052.97,0,0,2,GOLD,763
243,659,Germany,Male,67,6,117411.6,1,1,1,45071.09,1,1,2,SILVER,815
246,772,Germany,Male,26,7,152400.51,2,1,0,79414.0,0,0,1,PLATINUM,695
248,634,Germany,Male,24,8,103097.85,1,1,1,157577.29,0,0,2,GOLD,532
249,739,Germany,Male,54,8,126418.14,1,1,0,134420.75,1,1,2,DIAMOND,718
250,771,Germany,Female,36,5,77846.9,1,0,0,99805.99,0,0,5,PLATINUM,895
253,544,Germany,Male,37,2,79731.91,1,1,1,57558.95,0,0,4,DIAMOND,866
257,671,Germany,Female,34,6,37266.67,2,0,0,156917.12,0,0,3,SILVER,565
259,850,Germany,Male,38,3,54901.01,1,1,1,140075.55,0,0,2,GOLD,926
260,732,Germany,Male,42,9,108748.08,2,1,1,65323.11,0,0,1,DIAMOND,932
269,791,Germany,Female,35,7,52436.2,1,1,0,161051.75,0,0,2,SILVER,650
271,733,Germany,Male,34,3,100337.96,3,1,0,48559.19,1,1,4,PLATINUM,759
272,811,Germany,Female,34,1,149297.19,2,1,1,186339.74,0,0,2,GOLD,946
274,712,Germany,Male,28,4,145605.44,1,0,1,93883.53,0,0,3,PLATINUM,465
282,479,Germany,Male,35,4,138718.92,1,1,1,47251.79,1,1,1,GOLD,751
290,703,Germany,Male,42,9,63227.0,1,0,1,137316.32,0,0,3,SILVER,301
307,629,Germany,Male,35,7,156847.29,2,1,0,31824.29,0,0,4,SILVER,837
309,438,Germany,Male,31,8,78398.69,1,1,0,44937.01,0,0,4,PLATINUM,809
311,729,Germany,Male,30,6,63669.42,1,1,0,145111.37,0,0,2,GOLD,484
313,806,Germany,Female,59,0,135296.33,1,1,0,182822.5,0,0,1,SILVER,486
328,671,Germany,Male,35,1,144848.74,1,1,1,179012.3,0,0,5,PLATINUM,731
329,664,Germany,Male,26,7,116244.14,2,1,1,95145.14,0,0,2,GOLD,837
332,663,Germany,Male,44,2,117028.6,2,0,1,144680.18,0,0,4,DIAMOND,919
333,584,Germany,Female,30,8,112013.81,1,1,0,177772.03,1,1,4,PLATINUM,641
336,659,Germany,Female,32,3,150923.74,2,0,1,174652.51,0,0,2,PLATINUM,849
339,716,Germany,Female,39,10,115301.31,1,1,0,43527.4,1,1,5,DIAMOND,465
340,642,Germany,Female,40,6,129502.49,2,0,1,86099.23,1,1,4,GOLD,269
346,630,Germany,Female,34,9,106937.05,2,1,0,138275.01,0,0,3,SILVER,624
347,643,Germany,Male,59,3,170331.37,1,1,1,32171.79,0,0,5,PLATINUM,838
348,654,Germany,Female,32,1,114510.85,1,1,1,126143.23,0,0,4,GOLD,224
361,643,Germany,Female,45,2,150842.93,1,0,1,2319.96,1,1,5,PLATINUM,537
363,443,Germany,Female,29,9,99027.61,2,1,0,10940.4,0,0,5,PLATINUM,390
366,540,Germany,Female,42,9,87271.41,2,1,0,172572.64,0,0,1,PLATINUM,978
367,460,Germany,Female,35,8,102742.91,2,1,1,189339.6,0,0,5,DIAMOND,366
368,636,Germany,Male,34,2,40105.51,2,0,1,53512.16,0,0,3,DIAMOND,356
371,640,Germany,Female,75,1,106307.91,2,0,1,113428.77,0,0,2,PLATINUM,703
372,611,Germany,Male,31,0,107884.81,2,1,1,183487.98,0,0,2,DIAMOND,388
373,802,Germany,Male,31,1,125013.72,1,1,1,187658.09,0,0,2,DIAMOND,579
374,717,Germany,Male,35,7,58469.37,2,1,1,172459.39,0,0,2,GOLD,793
376,745,Germany,Male,45,10,117231.63,3,1,1,122381.02,1,1,2,GOLD,291
382,492,Germany,Female,30,10,77168.87,2,0,1,146700.22,0,0,5,GOLD,552
383,709,Germany,Male,28,8,124695.72,2,1,0,145251.35,0,0,3,DIAMOND,665
384,705,Germany,Male,44,3,105934.96,1,1,0,82463.69,0,0,3,PLATINUM,351
390,712,Germany,Female,29,7,147199.07,1,1,1,84932.4,0,0,3,SILVER,886
391,752,Germany,Male,38,3,183102.29,1,1,1,71557.12,0,0,3,SILVER,833
395,645,Germany,Female,37,2,136925.09,2,0,1,153400.24,0,0,3,PLATINUM,739
397,547,Germany,Male,32,8,155726.85,1,1,0,67789.99,0,0,2,SILVER,309
401,593,Germany,Female,38,4,129499.42,1,1,1,154071.27,0,0,5,SILVER,337
408,668,Germany,Male,37,10,152958.29,2,1,1,159585.61,0,0,2,SILVER,743
409,537,Germany,Female,41,3,138306.34,1,1,0,106761.47,0,0,5,DIAMOND,767
413,693,Germany,Female,41,9,181461.48,3,1,1,187929.43,1,1,3,GOLD,430
416,487,Germany,Female,61,5,110368.03,1,0,0,11384.45,1,1,2,DIAMOND,982
420,756,Germany,Female,60,3,115924.89,1,1,0,93524.19,1,1,3,DIAMOND,523
422,535,Germany,Male,40,7,111756.5,1,1,0,8128.32,1,1,2,GOLD,567
426,492,Germany,Male,39,10,124576.65,2,1,0,148584.61,0,0,5,GOLD,560
428,486,Germany,Female,40,9,71340.09,1,1,0,76192.21,0,0,4,PLATINUM,530
429,568,Germany,Male,40,1,99282.63,1,0,0,134600.94,1,1,2,SILVER,818
430,619,Germany,Male,57,3,137946.39,1,1,1,72467.99,1,1,5,PLATINUM,367
431,724,Germany,Male,41,2,127892.57,2,0,1,199645.45,0,0,4,DIAMOND,393
432,548,Germany,Female,33,0,101084.36,1,1,0,42749.85,0,0,5,DIAMOND,860
433,545,Germany,Female,37,8,114754.08,1,1,0,136050.44,1,1,5,GOLD,958
436,627,Germany,Female,30,4,79871.02,2,1,0,129826.89,0,0,4,DIAMOND,396
439,464,Germany,Female,42,3,85679.25,1,1,1,164104.74,0,0,3,SILVER,665
450,494,Germany,Female,38,7,174937.64,1,1,0,40084.32,0,0,5,GOLD,794
458,514,Germany,Male,43,1,95556.31,1,0,1,199273.98,1,1,4,GOLD,774
460,468,Germany,Male,29,1,111681.98,2,1,1,195711.16,0,0,3,GOLD,977
467,816,Germany,Female,38,5,130878.75,3,1,0,71905.77,1,1,4,GOLD,961
475,621,Germany,Male,46,6,141078.37,1,0,0,34580.8,1,1,2,SILVER,956
476,605,Germany,Female,31,1,117992.59,1,1,1,183598.77,0,0,2,SILVER,496
483,486,Germany,Male,37,9,115217.99,2,1,0,144995.33,0,0,1,GOLD,882
489,714,Germany,Female,55,9,180075.22,1,1,1,100127.71,0,0,1,GOLD,652
495,765,Germany,Male,36,8,92310.54,2,1,1,72924.56,0,0,3,DIAMOND,547
498,757,Germany,Male,26,8,121581.56,2,1,1,127059.04,0,0,5,SILVER,595
506,691,Germany,Male,30,7,116927.89,1,1,0,21198.39,0,0,1,DIAMOND,813
507,684,Germany,Female,40,6,137326.65,1,1,0,186976.6,0,0,1,PLATINUM,530
510,524,Germany,Female,31,10,67238.98,2,1,1,161811.23,0,0,5,GOLD,685
511,632,Germany,Female,38,6,86569.76,2,1,0,98090.91,0,0,5,SILVER,435
517,779,Germany,Male,37,7,120092.52,2,1,0,135925.72,0,0,1,GOLD,466
523,696,Germany,Male,32,8,101160.99,1,1,1,115916.55,0,0,4,DIAMOND,694
528,572,Germany,Female,48,3,152827.99,1,1,0,38411.79,1,1,5,GOLD,352
536,639,Germany,Male,35,10,128173.9,2,1,0,59093.39,0,0,3,PLATINUM,452
538,564,Germany,Female,62,5,114931.35,3,0,1,18260.98,1,1,3,GOLD,771
539,745,Germany,Female,28,1,111071.36,1,1,0,73275.96,1,1,1,PLATINUM,238
547,479,Germany,Female,30,7,143964.36,2,1,0,41879.99,0,0,4,SILVER,503
550,721,Germany,Female,36,3,65253.07,2,1,0,28737.78,0,0,5,SILVER,751
551,674,Germany,Male,47,6,106901.94,1,1,1,2079.2,1,1,4,GOLD,363
554,574,Germany,Male,33,3,129834.67,1,1,0,193131.42,0,0,5,SILVER,470
556,587,Germany,Male,40,5,138241.9,2,1,0,159418.1,0,0,5,SILVER,403
557,598,Germany,Male,41,3,91536.93,1,1,0,191468.78,1,1,1,SILVER,980
560,584,Germany,Female,29,7,105204.01,1,0,1,138490.03,0,0,2,DIAMOND,453
568,737,Germany,Male,31,5,121192.22,2,1,1,74890.58,0,0,2,PLATINUM,815
583,547,Germany,Female,30,9,72392.41,1,1,0,77077.14,0,0,3,PLATINUM,807
584,647,Germany,Female,51,1,119741.77,2,0,0,54954.51,1,1,3,SILVER,847
590,713,Germany,Female,38,7,144606.22,1,1,1,56594.36,1,1,1,SILVER,656
595,611,Germany,Female,41,2,114206.84,1,1,0,164061.6,0,0,1,DIAMOND,645
597,646,Germany,Male,39,9,111574.41,1,1,1,30838.51,0,0,2,PLATINUM,525
598,683,Germany,Female,57,5,162448.69,1,0,0,9221.78,1,1,5,SILVER,746
599,484,Germany,Female,34,4,148249.54,1,0,1,33738.27,0,0,3,DIAMOND,774
609,698,Germany,Female,51,2,111018.98,1,1,0,86410.28,0,0,4,DIAMOND,751
614,688,Germany,Male,26,8,146133.39,1,1,1,175296.76,0,0,4,PLATINUM,866
617,612,Germany,Female,62,8,140745.33,1,1,0,193437.89,1,1,5,GOLD,455
622,535,Germany,Female,53,5,141616.55,2,1,1,75888.65,0,0,1,PLATINUM,577
623,678,Germany,Male,36,3,145747.67,2,0,1,89566.74,0,0,1,SILVER,824
631,583,Germany,Female,54,6,115988.86,1,1,0,57553.98,1,1,5,DIAMOND,878
633,540,Germany,Male,44,3,164113.04,2,1,1,12120.79,0,0,5,SILVER,778
643,660,Germany,Female,39,5,135134.99,1,1,0,173683.0,1,1,1,DIAMOND,816
653,459,Germany,Male,48,4,133994.52,1,1,1,19287.06,1,1,5,DIAMOND,661
655,498,Germany,Male,25,8,121702.73,1,1,1,132210.49,0,0,4,DIAMOND,793
657,601,Germany,Female,54,1,131039.97,2,1,1,199661.5,0,0,1,DIAMOND,929
660,632,Germany,Female,41,3,81877.38,1,1,1,33642.21,0,0,3,SILVER,532
670,624,Germany,Female,48,3,122388.38,2,0,0,30020.09,0,0,2,PLATINUM,300
677,739,Germany,Male,45,7,102703.62,1,0,1,147802.94,1,1,3,SILVER,827
682,651,Germany,Female,41,4,133432.59,1,0,1,151303.48,0,0,3,SILVER,807
683,749,Germany,Female,40,8,141782.57,2,0,0,86333.63,0,0,3,DIAMOND,678
687,769,Germany,Female,45,5,126674.81,1,1,0,124118.71,1,1,5,DIAMOND,592
690,716,Germany,Male,27,1,122552.34,2,1,0,67611.36,0,0,5,GOLD,475
692,745,Germany,Male,36,8,145071.24,1,0,0,6078.46,0,0,5,PLATINUM,766
697,543,Germany,Female,57,1,106138.33,2,1,1,120657.32,1,1,5,GOLD,677
699,742,Germany,Male,33,0,181656.51,1,1,1,107667.91,0,0,1,SILVER,288
704,659,Germany,Male,36,2,76190.48,2,1,1,149066.14,0,0,1,PLATINUM,374
705,750,Germany,Male,40,5,168286.81,3,1,0,20451.99,1,1,4,GOLD,523
706,626,Germany,Male,35,4,88109.81,1,1,1,32825.5,0,0,5,SILVER,279
711,634,Germany,Male,35,6,116269.01,1,1,0,129964.94,0,0,1,SILVER,989
716,554,Germany,Female,37,4,58629.97,1,0,0,182038.6,0,0,2,DIAMOND,606
733,738,Germany,Male,43,9,121152.05,2,1,0,64166.7,1,1,5,DIAMOND,912
734,545,Germany,Female,60,7,128981.07,1,0,1,176924.21,1,1,5,GOLD,907
749,460,Germany,Male,46,4,127559.97,2,1,1,126952.5,0,0,5,SILVER,287
751,758,Germany,Female,47,9,95523.16,1,1,0,73294.48,0,0,1,DIAMOND,810
753,815,Germany,Male,37,2,110777.26,2,1,0,2383.59,0,0,3,GOLD,623
756,664,Germany,Female,36,2,127160.78,2,1,0,78140.75,0,0,5,GOLD,705
762,663,Germany,Female,36,6,77253.5,1,0,0,35817.97,1,1,5,PLATINUM,944
763,742,Germany,Female,21,1,114292.48,1,1,0,31520.4,0,0,2,GOLD,254
764,710,Germany,Male,43,2,140080.32,3,1,1,157908.19,1,1,3,GOLD,350
767,720,Germany,Male,60,9,115920.62,2,0,0,157552.08,1,1,1,PLATINUM,274
770,742,Germany,Female,36,2,129748.54,2,0,0,47271.61,1,1,3,GOLD,914
774,636,Germany,Male,49,6,113599.74,2,1,0,158887.09,1,1,2,PLATINUM,752
776,622,Germany,Female,58,7,116922.25,1,1,0,120415.61,1,1,2,GOLD,475
784,747,Germany,Male,58,7,116313.57,1,1,1,190696.35,1,1,3,PLATINUM,844
787,714,Germany,Male,42,2,177640.09,1,0,1,47166.55,0,0,5,GOLD,809
792,850,Germany,Female,48,6,111962.99,1,1,0,111755.8,0,0,5,GOLD,446
793,743,Germany,Female,34,1,131736.88,1,1,1,108543.21,0,0,5,GOLD,514
795,761,Germany,Male,36,8,108239.11,2,0,0,99444.02,0,0,4,DIAMOND,954
797,488,Germany,Male,32,3,114540.38,1,1,0,92568.07,0,0,2,GOLD,804
799,601,Germany,Female,42,9,133636.16,1,0,1,103315.74,0,0,4,SILVER,336
801,671,Germany,Female,44,0,84745.03,2,0,1,34673.98,0,0,4,SILVER,863
802,614,Germany,Female,31,7,120599.38,2,1,1,46163.44,0,0,3,DIAMOND,906
808,598,Germany,Male,53,10,167772.96,1,1,1,136886.86,0,0,5,SILVER,686
813,421,Germany,Male,28,8,122384.22,3,1,1,89017.38,1,1,4,SILVER,237
817,580,Germany,Female,42,2,123331.36,1,0,0,103516.08,1,1,3,DIAMOND,362
820,659,Germany,Male,36,4,132578.92,2,1,0,84320.94,0,0,1,DIAMOND,367
825,464,Germany,Male,33,8,164284.72,2,1,1,3710.34,0,0,4,GOLD,406
828,630,Germany,Female,31,2,112373.49,2,1,1,131167.98,0,0,3,SILVER,888
832,732,Germany,Female,29,1,154333.82,1,1,1,138527.56,0,0,4,GOLD,599
833,634,Germany,Male,37,3,111432.77,2,1,1,167032.49,0,0,4,GOLD,558
837,686,Germany,Female,56,5,111642.08,1,1,1,80553.87,0,0,5,DIAMOND,799
840,732,Germany,Male,50,6,145338.76,1,0,0,91936.1,1,1,4,DIAMOND,738
842,660,Germany,Male,35,8,58641.43,1,0,1,198674.08,0,0,5,PLATINUM,815
846,714,Germany,Male,21,6,86402.52,2,0,0,27330.59,0,0,4,GOLD,910
850,646,Germany,Male,46,1,170826.55,2,1,0,45041.32,0,0,2,PLATINUM,689
851,667,Germany,Female,48,1,97133.92,2,0,0,113316.77,1,1,5,GOLD,736
852,511,Germany,Female,41,8,153895.65,1,1,1,39087.42,0,0,4,GOLD,240
856,567,Germany,Female,49,5,134956.02,1,1,0,93953.84,1,1,1,GOLD,980
865,678,Germany,Female,25,10,76968.12,2,0,1,131501.72,0,0,1,GOLD,365
868,603,Germany,Male,44,6,108122.39,2,1,0,108488.33,1,1,3,GOLD,652
871,629,Germany,Female,45,7,129818.39,3,1,0,9217.55,1,1,3,PLATINUM,257
876,502,Germany,Female,32,1,173340.83,1,0,1,122763.95,0,0,1,PLATINUM,434
888,733,Germany,Male,74,3,106545.53,1,1,1,134589.58,0,0,1,GOLD,978
891,435,Germany,Male,32,2,57017.06,2,1,1,5907.11,0,0,3,SILVER,476
894,728,Germany,Female,35,8,125884.95,2,1,0,54359.02,1,1,5,PLATINUM,273
895,728,Germany,Male,32,5,61825.5,1,1,1,156124.93,0,0,5,GOLD,433
899,657,Germany,Male,25,2,171770.55,1,1,0,22745.5,0,0,4,GOLD,487
900,727,Germany,Male,40,1,93051.64,2,1,0,71865.31,1,1,1,SILVER,513
913,756,Germany,Male,27,1,131899.0,1,1,0,93302.29,0,0,4,SILVER,448
923,572,Germany,Female,19,1,138657.08,1,1,1,16161.82,0,0,3,PLATINUM,263
925,714,Germany,Female,36,1,101609.01,2,1,1,447.73,0,0,3,PLATINUM,997
927,639,Germany,Male,38,5,130170.82,1,1,1,149599.62,0,0,4,GOLD,577
928,520,Germany,Male,61,8,133802.29,2,1,1,90304.01,0,0,3,GOLD,756
931,564,Germany,Male,41,9,103522.75,2,1,1,34338.21,0,0,1,GOLD,599
932,708,Germany,Female,42,8,192390.52,2,1,0,823.36,0,0,2,SILVER,307
937,850,Germany,Female,44,5,128605.32,1,0,1,171096.2,0,0,2,PLATINUM,952
943,675,Germany,Female,29,8,121326.42,1,1,0,133457.52,0,0,2,SILVER,329
951,789,Germany,Male,33,8,151607.56,1,1,0,4389.4,0,0,4,SILVER,513
952,571,Germany,Female,66,9,111577.01,1,0,1,189271.9,0,0,1,PLATINUM,445
960,850,Germany,Female,31,1,108822.4,1,1,1,132173.31,0,0,2,DIAMOND,747
964,683,Germany,Female,43,4,115888.04,1,1,1,117349.19,1,1,5,PLATINUM,443
969,649,Germany,Male,70,9,116854.71,2,0,1,107125.79,0,0,3,DIAMOND,989
972,635,Germany,Male,43,5,78992.75,2,0,0,153265.31,0,0,5,SILVER,368
981,749,Germany,Female,44,0,71497.79,2,0,0,151083.8,0,0,1,SILVER,378
983,614,Germany,Female,35,6,128100.28,1,0,0,69454.24,1,1,4,PLATINUM,830
985,551,Germany,Male,31,9,82293.82,2,1,1,91565.25,0,0,3,PLATINUM,748
992,752,Germany,Female,42,3,65046.08,2,0,1,140139.28,0,0,5,PLATINUM,535
998,811,Germany,Female,28,4,167738.82,2,1,1,9903.42,0,0,4,GOLD,513
1000,648,Germany,Female,42,8,121980.56,2,1,0,4027.02,0,0,1,GOLD,238
1002,725,Germany,Male,39,1,50880.98,2,1,1,184023.54,0,0,4,GOLD,644
1004,601,Germany,Female,26,7,105514.69,2,1,0,50070.59,0,0,5,GOLD,525
1005,521,Germany,Male,52,5,116497.31,3,0,0,53793.1,1,1,3,SILVER,647
1016,541,Germany,Male,40,7,95710.11,2,1,0,49063.42,0,0,1,PLATINUM,834
1017,778,Germany,Male,41,7,139706.31,1,1,0,63337.19,0,0,1,GOLD,417
1018,850,Germany,Female,45,5,103909.86,1,1,0,60083.11,1,1,5,DIAMOND,312
1027,737,Germany,Male,35,0,133377.8,1,0,1,64050.19,0,0,1,DIAMOND,666
1048,812,Germany,Male,25,5,54817.55,1,1,0,131660.31,0,0,3,PLATINUM,985
1049,631,Germany,Male,40,3,107949.45,1,1,0,52449.62,1,1,4,DIAMOND,728
1052,607,Germany,Male,38,3,98205.77,1,1,0,176318.27,0,0,4,PLATINUM,354
1058,640,Germany,Male,33,8,81677.22,2,0,0,34925.56,0,0,2,PLATINUM,417
1062,613,Germany,Male,38,9,67111.65,1,1,0,78566.64,1,1,3,SILVER,599
1067,650,Germany,Male,26,4,214346.96,2,1,0,128815.33,0,0,2,GOLD,888
1070,686,Germany,Female,47,5,170935.94,1,1,0,173179.79,1,1,5,GOLD,983
1071,695,Germany,Male,52,8,103023.26,1,1,1,22485.64,0,0,2,GOLD,282
1075,743,Germany,Female,32,6,140348.56,2,1,1,163254.39,0,0,1,PLATINUM,707
1078,677,Germany,Female,41,8,146720.98,2,1,1,4195.84,0,0,3,DIAMOND,562
1080,766,Germany,Female,38,7,130933.74,1,0,1,2035.94,0,0,4,GOLD,436
1090,539,Germany,Female,34,4,91622.42,1,1,1,136603.42,0,0,5,PLATINUM,714
1096,756,Germany,Female,39,3,100717.85,3,1,1,73406.04,1,1,1,SILVER,439
1103,512,Germany,Female,32,2,123403.85,2,1,0,80120.19,0,0,2,PLATINUM,798
1107,420,Germany,Female,34,1,135549.9,1,0,0,149471.13,1,1,3,DIAMOND,974
1108,679,Germany,Male,38,7,110555.37,2,1,0,46522.68,0,0,4,GOLD,320
1111,833,Germany,Male,59,1,130854.59,1,1,1,30722.52,1,1,2,SILVER,504
1113,731,Germany,Female,21,8,132312.06,1,1,0,106663.46,1,1,2,GOLD,269
1120,848,Germany,Male,31,4,90018.45,2,1,0,193132.98,0,0,2,PLATINUM,795
1122,698,Germany,Male,56,1,112414.81,2,0,0,93982.02,1,1,4,DIAMOND,257
1123,779,Germany,Male,33,1,158456.76,1,1,1,197000.92,1,1,5,PLATINUM,274
1125,612,Germany,Female,58,1,149641.53,1,1,1,115161.28,0,0,5,GOLD,405
1127,549,Germany,Female,45,3,143734.01,2,1,1,96404.38,0,0,2,SILVER,816
1130,571,Germany,Female,34,1,101736.66,1,0,1,195651.66,0,0,1,SILVER,696
1135,733,Germany,Male,31,6,157791.07,2,0,0,177994.81,0,0,5,SILVER,845
1138,468,Germany,Male,42,9,181627.14,2,1,0,172668.39,0,0,1,PLATINUM,506
1144,765,Germany,Male,43,4,148962.76,1,0,1,173878.87,1,1,3,GOLD,873
1146,614,Germany,Female,30,3,131344.52,2,1,0,54776.64,0,0,2,PLATINUM,636
1147,593,Germany,Female,29,5,101713.84,3,1,0,134594.99,0,0,2,GOLD,490
1152,652,Germany,Male,45,2,151421.44,1,0,1,115333.43,0,0,2,GOLD,388
1153,755,Germany,Female,45,7,135643.0,1,0,0,143619.52,1,1,3,PLATINUM,265
1158,434,Germany,Female,58,9,125801.03,2,1,0,60891.8,1,1,2,PLATINUM,690
1163,747,Germany,Female,32,5,67495.04,2,0,1,77370.37,0,0,4,PLATINUM,885
1165,712,Germany,Female,49,5,154776.42,2,0,0,196257.68,0,0,3,PLATINUM,822
1166,622,Germany,Female,28,1,143124.63,2,1,0,81723.8,0,0,4,GOLD,295
1171,693,Germany,Male,40,0,120711.73,1,0,0,27345.18,1,1,1,DIAMOND,709
1172,647,Germany,Female,43,3,122717.53,2,1,1,87000.39,0,0,2,PLATINUM,323
1179,807,Germany,Female,31,1,93460.47,2,0,0,172782.69,0,0,5,PLATINUM,597
1181,651,Germany,Female,24,7,40224.7,1,1,1,178341.33,0,0,4,PLATINUM,842
