,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
362,648,France,Female,50,9,102535.57,1,1,1,189543.19,0,0,5,DIAMOND,332
364,640,France,Male,68,9,0.0,2,1,1,199493.38,0,0,4,PLATINUM,763
369,593,France,Female,29,2,152265.43,1,1,0,34004.44,0,0,1,SILVER,907
375,769,France,Female,39,8,0.0,1,0,1,21016.0,0,0,3,GOLD,828
380,483,France,Female,50,9,0.0,2,1,1,111020.24,0,0,5,SILVER,706
381,690,France,Male,36,7,101583.11,2,1,0,123775.15,0,0,2,DIAMOND,423
385,560,France,Female,66,9,0.0,1,1,1,15928.49,0,0,3,DIAMOND,906
389,544,France,Female,21,10,161525.96,2,1,0,9262.77,0,0,2,PLATINUM,458
396,557,France,Male,33,3,54503.55,1,1,1,371.05,0,0,5,SILVER,362
398,701,France,Female,39,9,0.0,2,0,1,145894.9,0,0,2,GOLD,513
399,616,France,Female,66,1,135842.41,1,1,0,183840.51,1,1,2,DIAMOND,302
400,605,France,Male,52,1,63349.75,1,1,0,108887.44,0,0,2,DIAMOND,437
404,685,France,Male,23,8,0.0,2,1,1,112239.03,0,0,2,SILVER,543
405,718,France,Male,36,9,0.0,1,1,0,45909.87,0,0,1,DIAMOND,939
411,850,France,Male,38,1,0.0,2,1,1,80006.65,0,0,2,PLATINUM,480
417,556,France,Female,39,9,89588.35,1,1,1,94898.1,0,0,1,DIAMOND,827
418,643,France,Female,46,6,0.0,2,0,0,106781.59,0,0,4,DIAMOND,597
419,605,France,Female,28,6,0.0,2,0,0,159508.52,0,0,1,DIAMOND,468
421,586,France,Female,38,2,0.0,2,1,0,87168.46,0,0,2,SILVER,650
423,678,France,Female,35,4,0.0,1,1,0,125518.32,0,0,1,DIAMOND,749
424,596,France,Male,39,9,0.0,1,1,0,48963.59,0,0,3,PLATINUM,390
425,648,France,Male,26,9,162923.85,1,1,0,98368.24,0,0,5,GOLD,922
427,702,France,Male,45,0,80793.58,1,1,1,27474.81,0,0,2,DIAMOND,994
434,683,France,Male,33,8,0.0,1,0,0,73564.44,0,0,4,PLATINUM,576
435,762,France,Female,51,3,99286.98,1,0,1,85578.63,0,0,5,SILVER,887
437,516,France,Male,35,10,104088.59,2,0,0,119666.0,0,0,1,GOLD,565
438,800,France,Female,38,2,168190.33,2,1,0,68052.08,0,0,3,SILVER,874
440,626,France,Female,35,3,0.0,1,0,0,80190.36,0,0,5,SILVER,680
441,790,France,Female,31,9,0.0,2,1,0,84126.75,0,0,1,DIAMOND,319
442,534,France,Female,34,7,121551.58,2,1,1,70179.0,0,0,3,SILVER,351
443,745,France,Male,46,2,122220.19,1,1,1,118024.1,0,0,3,DIAMOND,781
445,748,France,Female,26,1,77780.29,1,0,1,183049.41,0,0,3,GOLD,340
446,722,France,Male,37,2,0.0,1,0,0,120906.83,0,0,4,GOLD,625
447,501,France,Male,40,4,125832.2,1,1,1,100433.83,0,0,3,DIAMOND,923
448,675,France,Female,38,6,68065.8,1,0,0,138777.0,1,1,5,PLATINUM,543
451,850,France,Male,40,9,0.0,2,0,1,119232.33,0,0,2,GOLD,241
454,758,France,Female,39,6,127357.76,1,0,1,56577.0,0,0,4,SILVER,404
455,506,France,Male,36,5,0.0,2,1,0,164253.35,0,0,4,GOLD,299
456,733,France,Male,33,3,0.0,1,1,1,7666.73,0,0,1,SILVER,855
457,711,France,Male,38,3,0.0,2,1,0,68487.51,0,0,4,DIAMOND,886
461,539,France,Male,39,3,0.0,2,1,0,36692.17,0,0,1,SILVER,426
463,662,France,Female,32,4,133950.37,1,1,1,48725.68,1,1,1,DIAMOND,368
465,608,France,Male,33,9,89968.69,1,1,0,68777.26,0,0,3,GOLD,614
468,536,France,Male,35,8,0.0,2,1,0,64833.28,0,0,2,GOLD,345
469,753,France,Male,35,3,0.0,2,1,1,184843.77,0,0,1,GOLD,330
471,703,France,Male,37,1,149762.08,1,1,0,20629.4,1,1,3,DIAMOND,371
472,774,France,Male,26,2,93844.69,1,1,0,28415.36,0,0,1,DIAMOND,282
473,785,France,Male,28,8,0.0,2,1,0,77231.27,0,0,2,SILVER,937
474,571,France,Female,33,1,0.0,2,1,0,102750.7,0,0,2,GOLD,722
477,611,France,Female,40,8,100812.33,2,1,0,147358.27,0,0,2,DIAMOND,927
478,569,France,Male,38,7,0.0,1,1,1,108469.2,0,0,5,SILVER,550
479,658,France,Male,29,4,80262.6,1,1,1,20612.82,0,0,2,GOLD,420
481,525,France,Female,23,5,0.0,2,1,0,160249.1,0,0,1,PLATINUM,225
482,798,France,Male,37,8,0.0,3,0,0,110783.28,0,0,4,SILVER,860
485,730,France,Female,35,0,155470.55,1,1,1,53718.28,0,0,4,GOLD,500
486,641,France,Male,37,7,0.0,2,1,0,75248.3,0,0,2,PLATINUM,516
487,542,France,Male,39,3,135096.77,1,1,1,14353.43,1,1,2,PLATINUM,328
488,692,France,Male,30,2,0.0,2,0,1,130486.57,0,0,4,DIAMOND,751
491,710,France,Female,41,2,156067.05,1,1,1,9983.88,0,0,4,DIAMOND,678
492,639,France,Female,38,4,81550.94,2,0,1,118974.77,0,0,4,GOLD,860
493,531,France,Female,47,6,0.0,1,0,0,194998.34,1,1,2,SILVER,510
494,673,France,Female,38,2,170061.92,2,0,0,134901.34,1,1,5,PLATINUM,954
496,622,France,Female,32,6,169089.38,2,1,0,101057.95,0,0,5,SILVER,238
497,806,France,Male,40,5,80613.93,1,1,1,142838.64,0,0,1,SILVER,314
499,570,France,Female,58,8,0.0,1,0,1,116503.92,1,1,2,DIAMOND,257
501,692,France,Male,54,5,0.0,2,1,1,88721.84,0,0,3,PLATINUM,552
502,774,France,Male,60,5,85891.55,1,1,0,74135.48,1,1,5,GOLD,540
505,584,France,Male,31,5,0.0,2,1,0,31474.27,0,0,2,PLATINUM,568
508,733,France,Male,22,5,0.0,2,1,1,117202.19,0,0,3,DIAMOND,279
513,734,France,Male,34,6,133598.4,1,1,1,13107.24,0,0,4,DIAMOND,693
514,605,France,Female,51,3,136188.78,1,1,1,67110.59,1,1,1,PLATINUM,683
516,468,France,Female,56,10,0.0,3,0,1,62256.87,1,1,3,PLATINUM,547
518,698,France,Male,48,4,101238.24,2,0,1,177815.87,1,1,1,GOLD,342
519,707,France,Male,58,6,89685.92,1,0,1,126471.13,0,0,2,GOLD,230
520,850,France,Female,35,1,211774.31,1,1,0,188574.12,1,1,2,PLATINUM,757
521,850,France,Male,56,7,131317.48,1,1,1,119175.45,0,0,3,SILVER,657
524,661,France,Male,48,3,120320.54,1,0,0,96463.25,0,0,5,PLATINUM,727
525,776,France,Female,31,2,0.0,2,1,1,112349.51,0,0,3,DIAMOND,304
526,701,France,Male,43,2,0.0,2,1,1,165303.79,0,0,2,SILVER,633
527,610,France,Male,26,8,0.0,2,1,0,166031.08,0,0,2,SILVER,989
529,673,France,Male,30,1,64097.75,1,1,1,77783.35,0,0,5,DIAMOND,936
532,729,France,Male,32,6,93694.42,1,1,1,79919.13,0,0,2,GOLD,613
534,550,France,Female,40,7,114354.95,1,1,0,54018.93,0,0,1,GOLD,951
535,608,France,Male,59,1,0.0,1,1,0,70649.64,1,1,4,DIAMOND,585
540,833,France,Male,37,8,151226.18,2,1,1,136129.49,0,0,3,DIAMOND,633
541,622,France,Male,26,9,0.0,2,1,1,153237.59,0,0,3,PLATINUM,344
542,597,France,Female,42,4,64740.12,1,1,1,106841.12,0,0,5,SILVER,244
544,504,France,Female,49,7,0.0,3,0,1,87822.14,1,1,5,SILVER,408
546,587,France,Male,38,0,0.0,2,1,0,47414.15,0,0,3,DIAMOND,701
548,508,France,Male,49,7,122451.46,2,1,1,75808.1,0,0,3,GOLD,881
549,749,France,Male,24,1,0.0,3,1,1,47911.03,0,0,3,GOLD,758
553,417,France,Male,34,7,0.0,2,1,0,55003.79,0,0,4,SILVER,969
563,509,France,Female,46,1,0.0,1,1,0,71244.59,1,1,2,DIAMOND,264
565,543,France,Male,36,4,0.0,2,1,1,141210.5,0,0,1,GOLD,354
569,761,France,Male,31,7,0.0,3,1,1,166698.18,0,0,5,GOLD,753
570,601,France,Male,44,1,100486.18,2,1,1,62678.53,0,0,1,GOLD,650
571,651,France,Male,45,1,0.0,1,1,0,67740.08,1,1,3,SILVER,629
572,745,France,Male,35,9,92566.53,2,1,0,161519.77,0,0,4,SILVER,742
575,546,France,Female,27,8,0.0,2,1,1,14858.1,0,0,2,SILVER,776
577,755,France,Male,30,4,123217.66,2,0,1,144183.1,0,0,3,GOLD,786
578,593,France,Female,41,6,0.0,1,1,0,65170.66,0,0,1,SILVER,939
579,701,France,Male,39,2,0.0,2,1,1,82526.92,0,0,4,DIAMOND,812
585,760,France,Female,51,2,100946.71,1,0,0,179614.8,1,1,4,DIAMOND,550
587,725,France,Male,44,5,0.0,1,1,1,117356.14,0,0,4,SILVER,865
588,526,France,Male,36,1,0.0,1,1,0,160696.72,0,0,1,PLATINUM,425
591,700,France,Male,38,8,134811.3,1,1,0,1299.75,0,0,1,DIAMOND,903
592,666,France,Female,34,9,115897.12,1,1,1,25095.03,0,0,1,SILVER,427
600,601,France,Female,43,8,0.0,3,0,1,110916.15,1,1,4,SILVER,343
602,687,France,Female,72,9,0.0,1,0,1,69829.4,0,0,5,GOLD,258
603,566,France,Male,30,5,0.0,1,1,0,54926.51,1,1,4,DIAMOND,817
604,702,France,Male,37,10,150525.8,1,1,1,94728.49,0,0,4,DIAMOND,541
605,601,France,Male,29,9,0.0,1,1,1,80393.27,0,0,5,GOLD,418
606,699,France,Male,53,4,0.0,2,0,1,111307.98,0,0,1,PLATINUM,513
607,584,France,Male,28,10,0.0,2,1,0,19834.32,0,0,3,GOLD,706
608,699,France,Male,35,5,0.0,2,1,1,78397.24,0,0,2,SILVER,915
610,495,France,Male,30,10,129755.99,1,0,0,172749.65,0,0,2,DIAMOND,753
611,650,France,Female,27,6,0.0,2,1,0,1002.39,0,0,1,PLATINUM,789
612,605,France,Female,64,2,129555.7,1,1,1,13601.79,0,0,1,SILVER,380
620,593,France,Male,35,9,114193.24,1,1,0,71154.1,0,0,5,DIAMOND,660
626,427,France,Male,29,1,141325.56,1,1,1,93839.3,0,0,5,GOLD,589
627,752,France,Male,49,2,78653.84,1,1,0,7698.6,0,0,2,SILVER,989
628,649,France,Male,47,1,0.0,2,1,1,145593.85,0,0,4,GOLD,908
630,589,France,Female,61,1,0.0,1,1,0,61108.56,1,1,4,SILVER,923
634,850,France,Male,31,6,67996.23,2,0,0,50129.87,1,1,3,DIAMOND,895
637,682,France,Male,48,1,138778.15,1,0,1,168840.23,0,0,5,SILVER,229
638,744,France,Female,43,10,147832.15,1,0,1,24234.11,0,0,3,SILVER,982
639,785,France,Female,36,4,135438.4,1,0,0,190627.01,0,0,4,SILVER,834
641,706,France,Female,29,5,112564.62,1,1,0,42334.38,0,0,5,PLATINUM,819
642,583,France,Female,27,1,125406.58,1,1,1,110784.42,0,0,1,PLATINUM,992
644,819,France,Female,39,9,133102.92,1,1,0,27046.46,1,1,2,SILVER,444
645,673,France,Female,34,8,42157.08,1,1,0,20598.59,1,1,2,SILVER,611
646,752,France,Female,30,3,0.0,2,1,1,104991.28,0,0,4,SILVER,974
647,578,France,Male,38,7,82259.29,1,1,0,8996.97,0,0,1,DIAMOND,325
648,438,France,Female,36,4,0.0,2,1,0,64420.5,0,0,3,SILVER,660
649,652,France,Male,38,6,0.0,2,1,1,145700.22,0,0,2,PLATINUM,691
650,629,France,Female,49,4,0.0,2,1,1,196335.48,0,0,5,PLATINUM,921
651,720,France,Male,52,7,0.0,1,1,1,14781.12,0,0,1,GOLD,678
652,668,France,Male,42,3,150461.07,1,1,0,108139.23,0,0,1,DIAMOND,335
658,544,France,Male,64,9,113829.45,1,1,1,124341.49,0,0,3,GOLD,562
659,751,France,Female,30,6,0.0,2,1,0,15766.1,0,0,2,DIAMOND,633
662,678,France,Male,31,2,0.0,2,1,1,58803.28,0,0,1,DIAMOND,888
663,695,France,Male,46,4,0.0,2,1,1,137537.22,0,0,2,PLATINUM,499
664,661,France,Female,41,1,0.0,2,0,1,131300.68,0,0,1,PLATINUM,671
665,661,France,Male,33,9,0.0,2,1,1,84174.81,0,0,2,DIAMOND,873
666,559,France,Female,31,3,127070.73,1,0,1,160941.78,0,0,2,PLATINUM,665
667,503,France,Male,29,3,0.0,2,1,1,143954.99,0,0,1,DIAMOND,927
669,640,France,Female,42,5,176099.13,1,1,1,8404.73,0,0,5,PLATINUM,380
671,667,France,Male,42,9,0.0,2,0,1,58137.42,0,0,3,GOLD,300
672,642,France,Male,26,0,0.0,1,0,0,47472.68,0,0,5,SILVER,616
675,563,France,Female,39,5,0.0,2,1,1,17603.81,0,0,1,SILVER,336
680,482,France,Male,55,5,97318.25,1,0,1,78416.14,0,0,5,GOLD,408
684,583,France,Male,24,9,135125.28,1,0,0,89801.9,0,0,5,SILVER,304
686,715,France,Female,31,2,112212.14,2,1,1,181600.72,0,0,5,PLATINUM,641
688,625,France,Female,51,7,136294.97,1,1,0,38867.46,1,1,1,PLATINUM,833
689,641,France,Female,36,5,66392.64,1,1,0,31106.67,0,0,1,SILVER,224
691,767,France,Male,43,1,76408.85,2,1,0,77837.63,0,0,2,PLATINUM,307
693,589,France,Male,34,6,0.0,2,1,1,177896.92,0,0,1,SILVER,261
