,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
95,515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0,0,1,GOLD,231
96,773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0,0,5,DIAMOND,488
98,710,Spain,Male,22,8,0.0,2,0,0,99645.04,0,0,4,SILVER,289
103,528,Spain,Male,36,7,0.0,2,1,0,60536.56,0,0,5,SILVER,458
104,670,Spain,Female,65,1,0.0,1,1,1,177655.68,1,1,2,GOLD,915
105,622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1,1,3,GOLD,299
108,605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0,0,3,DIAMOND,509
113,675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0,0,4,SILVER,749
121,674,Spain,Male,39,6,120193.42,1,0,0,100130.95,0,0,1,PLATINUM,510
138,584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1,0,4,DIAMOND,814
139,579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1,1,4,GOLD,247
143,793,Spain,Male,52,2,0.0,1,1,0,159123.82,1,1,5,GOLD,883
145,485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0,0,4,GOLD,764
146,635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0,0,1,PLATINUM,608
150,754,Spain,Female,32,7,0.0,2,1,0,89520.75,0,0,1,SILVER,800
152,716,Spain,Male,42,8,0.0,2,1,0,180800.42,0,0,2,SILVER,427
155,706,Spain,Male,57,7,0.0,1,1,0,17941.16,1,1,1,GOLD,701
157,586,Spain,Female,28,2,0.0,2,1,1,92067.35,0,0,5,PLATINUM,635
160,717,Spain,Female,22,6,101060.25,1,0,1,84699.56,0,0,2,GOLD,666
163,721,Spain,Female,36,2,0.0,2,1,1,106977.8,0,0,5,SILVER,534
164,683,Spain,Male,29,0,133702.89,1,1,0,55582.54,1,1,1,PLATINUM,388
167,615,Spain,Female,41,9,109013.23,1,1,0,196499.96,0,0,1,PLATINUM,561
168,667,Spain,Female,39,2,0.0,2,1,0,40721.24,1,1,5,PLATINUM,308
175,484,Spain,Female,35,7,133868.21,1,1,1,27286.1,0,0,2,SILVER,415
178,597,Spain,Female,40,8,101993.12,1,0,1,94774.12,0,0,5,SILVER,681
180,850,Spain,Female,45,2,122311.21,1,1,1,19482.5,0,0,5,GOLD,739
187,525,Spain,Female,37,0,0.0,1,0,1,131521.72,0,0,5,SILVER,642
188,616,Spain,Male,30,5,0.0,2,0,1,196108.51,0,0,4,PLATINUM,701
194,580,Spain,Male,29,9,61710.44,2,1,0,128077.8,0,0,1,DIAMOND,520
196,616,Spain,Female,32,6,0.0,2,1,1,43001.46,0,0,5,GOLD,512
200,850,Spain,Male,30,2,141040.01,1,1,1,5978.2,0,0,2,DIAMOND,615
202,516,Spain,Male,50,5,0.0,1,0,1,146145.93,1,1,5,GOLD,509
204,512,Spain,Male,33,3,176666.62,1,1,0,94670.77,0,0,1,PLATINUM,726
206,608,Spain,Female,41,3,89763.84,1,0,0,199304.74,1,1,3,PLATINUM,639
217,730,Spain,Female,33,9,0.0,2,0,0,176576.62,0,0,1,SILVER,621
221,514,Spain,Male,30,7,0.0,1,0,1,125010.24,0,0,4,DIAMOND,583
240,662,Spain,Male,38,4,0.0,2,1,0,136259.65,0,0,5,GOLD,248
244,523,Spain,Male,34,7,0.0,2,1,0,62030.06,0,0,4,DIAMOND,566
251,587,Spain,Female,34,1,0.0,2,1,1,97932.68,0,0,4,DIAMOND,749
254,696,Spain,Male,28,8,0.0,1,0,0,176713.47,0,0,3,SILVER,671
255,766,Spain,Male,41,0,0.0,2,0,1,34283.23,0,0,4,GOLD,670
261,726,Spain,Female,48,6,99906.19,1,1,0,64323.24,0,0,4,DIAMOND,901
264,738,Spain,Male,31,9,79019.8,1,1,1,18606.23,0,0,4,PLATINUM,467
265,531,Spain,Female,36,9,99240.51,1,1,0,123137.01,0,0,1,PLATINUM,717
268,549,Spain,Female,39,7,0.0,1,0,0,81259.25,1,1,2,GOLD,716
270,650,Spain,Male,41,9,0.0,2,0,1,191599.67,0,0,4,PLATINUM,693
275,706,Spain,Female,37,7,0.0,2,1,1,110899.3,0,0,1,GOLD,799
281,775,Spain,Male,29,10,0.0,2,1,1,68143.93,0,0,2,DIAMOND,913
286,602,Spain,Male,29,5,103907.28,1,1,0,161229.84,0,0,2,SILVER,861
288,744,Spain,Female,26,5,166297.89,1,1,1,181694.44,0,0,1,PLATINUM,526
289,588,Spain,Male,34,10,0.0,2,1,0,79078.91,0,0,2,PLATINUM,632
291,747,Spain,Female,41,5,94521.17,2,1,0,194926.86,0,0,1,DIAMOND,806
293,750,Spain,Female,34,9,112822.26,1,0,0,150401.53,1,1,2,PLATINUM,563
297,687,Spain,Female,44,7,0.0,3,1,0,155853.52,1,1,2,SILVER,336
301,616,Spain,Female,36,6,132311.71,1,0,0,15462.84,0,0,2,SILVER,268
314,744,Spain,Male,36,2,153804.44,1,1,1,87213.33,0,0,3,SILVER,252
315,474,Spain,Male,37,3,0.0,2,0,0,57175.32,0,0,4,SILVER,275
317,706,Spain,Male,42,9,0.0,2,1,1,28714.34,0,0,4,PLATINUM,361
318,628,Spain,Female,22,3,0.0,1,1,0,85426.28,0,0,4,DIAMOND,483
320,525,Spain,Female,57,2,145965.33,1,1,1,64448.36,0,0,5,PLATINUM,337
331,667,Spain,Female,40,1,146502.07,1,1,0,19162.89,0,0,3,DIAMOND,230
334,626,Spain,Female,37,6,108269.37,1,1,0,5597.94,0,0,2,DIAMOND,457
338,805,Spain,Female,39,5,165272.13,1,1,0,14109.85,1,1,3,SILVER,317
342,545,Spain,Female,47,5,0.0,2,1,1,38970.14,0,0,4,PLATINUM,373
350,659,Spain,Male,32,3,107594.11,2,1,1,102416.84,0,0,3,DIAMOND,683
351,762,Spain,Male,39,2,81273.13,1,1,1,18719.67,0,0,5,GOLD,929
352,568,Spain,Female,32,7,169399.6,1,1,0,61936.22,0,0,4,PLATINUM,234
353,670,Spain,Male,25,6,0.0,2,1,1,78358.94,0,0,3,DIAMOND,723
356,850,Spain,Female,57,8,126776.3,2,1,1,132298.49,0,0,3,GOLD,244
357,522,Spain,Male,34,9,126436.29,1,1,0,174248.52,1,1,3,GOLD,973
360,706,Spain,Male,28,3,0.0,2,0,1,181543.67,0,0,3,SILVER,241
365,628,Spain,Female,33,3,0.0,1,1,1,188193.25,0,0,4,GOLD,240
370,801,Spain,Male,42,4,141947.67,1,1,1,10598.29,0,0,3,SILVER,687
377,572,Spain,Male,35,4,152390.26,1,1,0,128123.66,0,0,4,GOLD,951
378,629,Spain,Female,30,2,34013.63,1,1,0,19570.63,0,0,2,DIAMOND,952
379,687,Spain,Female,39,2,0.0,3,0,0,188150.6,1,1,2,GOLD,616
386,611,Spain,Male,46,6,0.0,2,1,0,45886.33,0,0,4,DIAMOND,406
387,730,Spain,Male,62,2,0.0,2,1,1,186489.95,0,0,4,GOLD,594
388,709,Spain,Female,45,2,0.0,2,0,1,162922.65,0,0,1,PLATINUM,815
392,648,Spain,Male,46,9,127209.0,2,1,0,77405.95,1,1,4,GOLD,932
393,556,Spain,Male,38,8,0.0,2,0,0,417.41,1,1,3,GOLD,632
394,594,Spain,Female,24,0,97378.54,1,1,1,71405.17,0,0,2,DIAMOND,431
402,751,Spain,Male,52,8,0.0,2,0,1,179291.85,0,0,5,SILVER,629
403,443,Spain,Male,36,6,70438.01,2,0,1,56937.43,0,0,4,GOLD,858
406,538,Spain,Female,49,9,141434.04,1,0,0,173779.25,1,1,5,GOLD,797
407,611,Spain,Female,37,4,0.0,2,1,0,125696.26,0,0,4,SILVER,629
410,709,Spain,Male,23,10,0.0,2,0,0,129590.18,0,0,2,SILVER,246
412,745,Spain,Female,31,3,124328.84,1,1,1,140451.52,0,0,5,GOLD,924
414,795,Spain,Male,35,8,0.0,2,1,0,167155.36,0,0,2,DIAMOND,708
415,626,Spain,Male,26,8,0.0,2,0,0,191420.71,0,0,4,PLATINUM,701
444,553,Spain,Male,47,3,116528.15,1,0,0,145704.19,1,1,2,DIAMOND,918
449,778,Spain,Female,47,6,127299.34,2,1,0,124694.99,0,0,2,GOLD,859
452,592,Spain,Male,31,7,110071.1,1,0,0,43921.36,0,0,3,GOLD,702
453,590,Spain,Female,44,3,139432.37,1,1,0,62222.81,0,0,4,PLATINUM,816
459,637,Spain,Male,37,8,0.0,1,1,1,186062.36,0,0,1,DIAMOND,699
462,509,Spain,Female,25,3,108738.71,2,1,0,106920.57,0,0,3,DIAMOND,595
464,818,Spain,Male,26,4,0.0,2,1,1,167036.94,0,0,3,SILVER,261
466,850,Spain,Female,32,9,0.0,2,1,1,18924.92,0,0,4,DIAMOND,765
470,631,Spain,Male,27,10,134169.62,1,1,1,176730.02,0,0,5,PLATINUM,863
480,788,Spain,Male,34,6,156478.62,1,0,1,181196.76,0,0,3,DIAMOND,760
484,615,Spain,Male,61,9,0.0,2,1,0,150227.85,1,1,4,DIAMOND,683
490,591,Spain,Male,29,1,97541.24,1,1,1,196356.17,0,0,2,PLATINUM,850
500,555,Spain,Male,32,4,0.0,2,1,1,54405.79,0,0,4,DIAMOND,850
503,638,Spain,Male,44,9,77637.35,2,1,1,111346.22,0,0,4,SILVER,343
504,543,Spain,Female,41,4,0.0,1,0,0,194902.16,0,0,5,PLATINUM,331
509,599,Spain,Female,37,2,0.0,2,1,1,143739.29,0,0,4,GOLD,516
512,735,Spain,Male,34,5,0.0,2,0,0,71095.41,0,0,1,PLATINUM,898
515,793,Spain,Male,38,9,0.0,2,1,0,88225.02,0,0,1,SILVER,690
522,527,Spain,Male,37,5,93722.73,2,1,1,139093.73,0,0,3,PLATINUM,453
530,519,Spain,Female,57,2,119035.35,2,1,1,29871.79,0,0,3,SILVER,689
531,702,Spain,Female,26,4,135219.57,1,0,1,59747.63,0,0,4,DIAMOND,267
533,543,Spain,Male,35,10,59408.63,1,1,0,76773.53,0,0,4,GOLD,480
537,686,Spain,Male,34,9,0.0,2,1,0,127569.8,0,0,3,SILVER,358
543,721,Spain,Male,51,0,169312.13,1,1,0,109078.35,1,1,2,PLATINUM,405
545,842,Spain,Female,44,2,112652.08,2,1,0,126644.98,0,0,5,DIAMOND,939
552,685,Spain,Female,25,10,128509.63,1,1,0,121562.33,0,0,3,DIAMOND,560
555,590,Spain,Female,51,3,154962.99,3,0,1,191932.27,1,1,1,SILVER,759
558,741,Spain,Male,53,3,0.0,2,1,1,38913.68,0,0,3,GOLD,245
559,850,Spain,Female,70,5,0.0,1,1,1,705.18,0,0,1,DIAMOND,283
561,650,Spain,Male,61,1,152968.73,1,0,1,82970.69,0,0,5,DIAMOND,683
562,607,Spain,Male,36,8,158261.68,1,1,1,76744.72,0,0,5,GOLD,863
564,689,Spain,Female,38,6,121021.05,1,1,1,12182.15,0,0,3,SILVER,946
566,438,Spain,Female,54,2,0.0,1,0,0,191763.07,1,1,3,SILVER,281
567,687,Spain,Female,63,1,137715.66,1,1,1,37938.74,0,0,1,PLATINUM,938
573,648,Spain,Female,49,10,0.0,2,1,1,159835.78,1,1,2,GOLD,314
574,848,Spain,Male,40,3,110929.96,1,1,1,30876.84,0,0,3,GOLD,844
576,439,Spain,Female,32,3,138901.61,1,1,0,75685.97,0,0,4,DIAMOND,913
580,701,Spain,Male,36,8,0.0,2,1,0,169161.46,0,0,2,DIAMOND,689
581,607,Spain,Female,33,2,108431.87,2,0,1,109291.39,1,1,5,PLATINUM,647
582,586,Spain,Female,57,3,0.0,2,0,1,6057.81,0,0,4,PLATINUM,839
586,621,Spain,Male,53,9,170491.84,1,1,0,35588.07,1,1,3,PLATINUM,777
589,519,Spain,Female,47,6,157296.02,2,0,0,147278.43,1,1,1,PLATINUM,934
593,630,Spain,Male,32,4,82034.0,1,0,0,146326.45,0,0,5,GOLD,708
594,779,Spain,Female,26,4,174318.13,2,0,1,38296.21,0,0,2,PLATINUM,625
596,685,Spain,Male,43,9,0.0,2,1,0,107811.28,0,0,4,SILVER,808
601,762,Spain,Female,26,7,123709.46,2,1,1,169654.57,0,0,4,PLATINUM,669
613,667,Spain,Male,38,1,87202.38,1,1,1,77866.91,0,0,5,PLATINUM,955
615,727,Spain,Female,31,0,0.0,1,1,0,121751.04,1,1,2,SILVER,274
616,754,Spain,Male,39,6,170184.99,2,1,0,89593.26,0,0,2,DIAMOND,380
618,546,Spain,Male,42,7,139070.51,1,1,1,86945.0,0,0,3,DIAMOND,451
619,673,Spain,Female,37,8,0.0,2,1,1,183318.79,0,0,1,SILVER,603
621,656,Spain,Female,40,10,167878.5,1,0,1,151887.16,0,0,5,PLATINUM,806
624,477,Spain,Female,48,2,129120.64,1,0,1,26475.79,0,0,3,GOLD,238
625,850,Spain,Male,35,7,110349.82,1,0,0,126355.8,0,0,2,PLATINUM,445
629,799,Spain,Female,28,3,142253.65,1,1,0,45042.56,0,0,1,SILVER,395
632,839,Spain,Female,33,10,75592.43,1,1,0,62674.42,0,0,3,PLATINUM,497
635,696,Spain,Female,51,5,0.0,2,1,0,55022.43,0,0,4,SILVER,509
636,660,Spain,Female,33,1,0.0,2,0,0,117834.91,0,0,1,PLATINUM,485
640,752,Spain,Male,48,5,116060.08,1,1,0,156618.38,1,1,5,PLATINUM,265
654,729,Spain,Male,31,8,164870.81,2,1,1,9567.39,0,0,4,PLATINUM,249
656,549,Spain,Male,25,6,193858.2,1,0,1,21600.11,0,0,3,PLATINUM,737
661,694,Spain,Male,57,8,116326.07,1,1,1,117704.65,0,0,2,SILVER,988
668,695,Spain,Male,46,3,122549.64,1,1,1,56297.85,0,0,3,SILVER,520
673,640,Spain,Female,32,6,118879.35,2,1,1,19131.71,0,0,2,PLATINUM,869
674,529,Spain,Male,35,5,0.0,2,1,1,187288.5,0,0,2,PLATINUM,395
676,593,Spain,Female,38,4,88736.44,2,1,0,67020.03,0,0,5,PLATINUM,910
678,788,Spain,Female,70,1,0.0,2,1,1,41610.62,0,0,3,DIAMOND,844
679,684,Spain,Female,38,3,0.0,2,1,0,44255.65,0,0,4,SILVER,866
681,591,Spain,Male,58,5,128468.69,1,0,1,137254.55,0,0,2,GOLD,515
685,661,Spain,Male,42,2,178820.91,1,0,0,29358.57,1,1,1,PLATINUM,426
696,445,Spain,Male,62,1,64119.38,1,1,1,76569.64,1,1,5,PLATINUM,561
698,746,Spain,Male,36,2,0.0,2,1,1,16436.56,0,0,5,DIAMOND,718
702,594,Spain,Female,49,2,126615.94,2,0,1,123214.74,0,0,3,DIAMOND,650
703,574,Spain,Male,36,1,0.0,2,0,1,71709.12,0,0,2,DIAMOND,980
712,632,Spain,Male,38,1,120599.21,1,1,0,92816.86,0,0,3,DIAMOND,666
714,650,Spain,Female,25,3,86605.5,3,1,0,16649.31,1,1,2,GOLD,653
717,701,Spain,Female,42,5,0.0,2,0,0,24210.56,0,0,1,GOLD,282
720,672,Spain,Female,56,2,209767.31,2,1,1,150694.42,1,1,5,PLATINUM,742
721,459,Spain,Female,42,6,129634.25,2,1,1,177683.02,1,1,3,PLATINUM,326
732,657,Spain,Male,31,3,125167.02,1,0,0,98820.39,0,0,2,SILVER,225
736,816,Spain,Male,67,6,151858.98,1,1,1,72814.31,0,0,5,GOLD,459
747,450,Spain,Female,46,5,177619.71,1,1,0,54227.06,0,0,1,GOLD,238
748,727,Spain,Male,38,2,62276.99,1,1,1,59280.79,0,0,4,DIAMOND,757
754,838,Spain,Female,39,5,166733.92,2,1,0,14279.44,0,0,2,DIAMOND,917
757,736,Spain,Female,28,2,0.0,2,1,1,117431.1,0,0,3,PLATINUM,457
765,710,Spain,Female,27,2,135277.96,1,1,0,142200.15,0,0,4,SILVER,314
768,684,Spain,Male,41,2,119782.72,2,0,0,120284.67,0,0,2,GOLD,935
777,692,Spain,Male,28,9,118945.09,1,0,0,16064.25,1,1,3,SILVER,735
779,679,Spain,Female,35,8,119182.73,1,0,0,121210.09,0,0,3,SILVER,369
785,792,Spain,Male,36,5,92140.15,1,0,1,67468.67,0,0,3,SILVER,328
788,562,Spain,Female,35,0,0.0,2,1,0,119899.52,0,0,2,SILVER,814
789,704,Spain,Male,48,8,167997.6,1,1,1,173498.45,0,0,2,SILVER,970
803,511,Spain,Female,29,9,0.0,2,0,1,140676.98,0,0,4,DIAMOND,390
805,790,Spain,Female,46,9,0.0,1,0,0,14679.81,1,1,3,SILVER,258
811,681,Spain,Male,65,7,134714.7,2,0,1,190419.81,0,0,3,GOLD,854
812,516,Spain,Female,33,3,0.0,2,1,1,58685.59,0,0,2,PLATINUM,692
818,497,Spain,Male,27,9,75263.16,1,1,1,164825.04,0,0,5,GOLD,709
822,642,Spain,Male,34,8,0.0,1,1,0,72085.1,0,0,3,GOLD,323
823,732,Spain,Female,69,9,137453.43,1,0,1,110932.24,1,1,5,PLATINUM,719
824,600,Spain,Male,36,4,0.0,2,1,0,143635.36,0,0,1,GOLD,767
827,758,Spain,Male,56,1,0.0,2,1,1,10643.38,0,0,4,PLATINUM,408
831,708,Spain,Female,41,5,0.0,1,0,1,157003.99,0,0,3,SILVER,256
836,694,Spain,Female,37,3,0.0,2,1,1,147012.22,0,0,3,DIAMOND,245
838,553,Spain,Female,48,3,0.0,1,0,1,30730.95,1,1,3,PLATINUM,421
843,773,Spain,Female,41,5,0.0,1,1,0,28266.9,1,1,4,DIAMOND,497
848,611,Spain,Male,51,1,122874.74,1,1,1,149648.45,0,0,1,PLATINUM,247
855,523,Spain,Male,32,4,0.0,2,1,0,167848.02,0,0,3,DIAMOND,480
857,741,Spain,Male,39,7,143637.58,2,0,1,174227.66,0,0,4,PLATINUM,437
858,456,Spain,Male,32,9,147506.25,1,1,1,135399.21,0,0,3,DIAMOND,454
877,652,Spain,Female,42,4,0.0,2,1,1,38152.01,0,0,5,GOLD,230
886,739,Spain,Male,38,0,128366.44,1,1,0,12796.43,0,0,3,PLATINUM,631
890,788,Spain,Male,37,8,141541.25,1,0,0,66013.27,0,0,4,DIAMOND,582
908,685,Spain,Male,31,10,135213.71,1,1,1,125777.28,0,0,4,GOLD,444
909,806,Spain,Male,25,7,0.0,2,1,0,18461.9,0,0,4,PLATINUM,767
911,648,Spain,Female,53,6,111201.41,1,1,1,121542.29,0,0,4,PLATINUM,715
912,545,Spain,Female,32,4,0.0,1,1,0,94739.2,0,0,1,PLATINUM,319
918,784,Spain,Male,35,3,0.0,2,0,0,81483.64,0,0,2,PLATINUM,469
919,552,Spain,Male,45,9,0.0,2,1,0,26752.56,0,0,2,DIAMOND,723
921,609,Spain,Male,61,1,0.0,1,1,0,22447.85,1,1,5,PLATINUM,400
926,738,Spain,Male,35,3,0.0,1,1,1,15650.73,0,0,2,DIAMOND,766
930,661,Spain,Male,39,6,132628.98,1,0,0,38812.67,0,0,5,DIAMOND,581
933,512,Spain,Male,36,1,0.0,1,0,1,135482.26,1,1,4,PLATINUM,795
934,592,Spain,Male,37,9,0.0,3,1,1,10656.89,0,0,1,DIAMOND,413
940,710,Spain,Male,35,1,106518.52,1,1,1,127951.81,0,0,4,PLATINUM,939
945,697,Spain,Female,25,5,82931.85,2,1,1,128373.88,0,0,1,PLATINUM,282
946,599,Spain,Female,39,4,0.0,1,1,0,194273.2,1,1,3,PLATINUM,543
953,694,Spain,Male,39,0,107042.74,1,1,1,102284.2,0,0,4,PLATINUM,297
954,665,Spain,Female,42,2,156371.61,2,0,1,156774.94,1,1,3,DIAMOND,553
956,807,Spain,Female,43,0,0.0,2,0,1,85523.24,0,0,5,PLATINUM,660
957,771,Spain,Female,67,8,0.0,2,1,1,51219.8,0,0,1,GOLD,352
958,531,Spain,Male,27,8,132576.25,1,0,0,7222.92,0,0,5,SILVER,835
961,685,Spain,Male,35,4,137948.51,1,1,0,113639.64,0,0,1,PLATINUM,404
962,642,Spain,Male,32,7,100433.8,1,1,1,39768.59,0,0,2,PLATINUM,479
963,529,Spain,Male,63,4,96134.11,3,1,0,108732.96,1,1,3,GOLD,693
967,637,Spain,Female,34,9,0.0,2,0,0,26057.08,0,0,5,GOLD,365
973,750,Spain,Female,38,7,97257.41,2,0,1,179883.04,0,0,3,DIAMOND,324
975,750,Spain,Female,36,8,112940.07,1,0,1,9855.81,0,0,3,GOLD,447
987,569,Spain,Male,34,0,151839.26,1,1,0,102299.81,1,1,1,SILVER,268
988,659,Spain,Male,31,7,149620.88,2,1,1,104533.51,0,0,5,SILVER,417
993,661,Spain,Female,28,7,95357.49,1,0,0,102297.15,0,0,5,GOLD,508
994,838,Spain,Male,43,9,123105.88,2,1,0,145765.83,0,0,3,SILVER,376
995,610,Spain,Male,29,9,0.0,3,0,1,83912.24,0,0,5,SILVER,691
996,811,Spain,Male,44,3,0.0,2,0,1,78439.73,0,0,5,PLATINUM,859
997,587,Spain,Male,62,7,121286.27,1,0,1,6776.92,0,0,5,DIAMOND,500
1006,561,Spain,Female,33,6,0.0,2,1,0,45261.47,0,0,1,DIAMOND,704
1009,650,Spain,Male,71,0,0.0,1,1,1,175380.77,0,0,5,GOLD,928
1011,719,Spain,Male,35,3,122964.88,1,1,1,138231.7,0,0,4,DIAMOND,411
1013,635,Spain,Male,24,4,0.0,2,1,1,70668.77,0,0,2,GOLD,506
1014,496,Spain,Female,43,3,0.0,2,0,1,199505.53,0,0,1,SILVER,494
1021,485,Spain,Male,32,6,102238.01,2,1,1,194010.12,0,0,4,PLATINUM,784
1028,828,Spain,Male,34,9,0.0,2,1,1,81853.98,0,0,5,SILVER,766
1029,609,Spain,Male,53,10,0.0,1,1,1,154642.91,0,0,3,SILVER,498
1032,830,Spain,Male,40,4,0.0,2,0,1,81622.52,0,0,5,DIAMOND,543
1035,678,Spain,Male,30,0,0.0,1,1,0,35113.08,0,0,4,GOLD,965
1040,580,Spain,Male,67,3,153946.14,1,1,1,7418.92,0,0,5,PLATINUM,221
1042,630,Spain,Female,39,7,135483.17,1,1,0,140881.2,1,1,1,SILVER,309
1045,588,Spain,Male,34,6,121132.26,2,1,0,86460.28,0,0,3,DIAMOND,468
1046,807,Spain,Female,42,1,0.0,1,1,0,16500.66,1,1,2,DIAMOND,406
1051,625,Spain,Female,49,2,80816.45,1,1,1,20018.79,0,0,1,PLATINUM,677
1053,600,Spain,Female,50,6,94684.27,1,1,1,50488.91,0,0,3,DIAMOND,981
1054,602,Spain,Female,22,7,141604.76,1,1,0,30379.6,0,0,2,PLATINUM,943
1055,545,Spain,Female,74,3,0.0,2,1,1,161326.73,0,0,2,SILVER,423
1056,675,Spain,Male,33,3,0.0,2,1,0,45348.08,0,0,5,GOLD,487
1060,490,Spain,Female,48,8,155413.06,1,1,0,187921.3,0,0,3,GOLD,319
1061,710,Spain,Female,38,4,0.0,2,1,1,136390.88,0,0,4,DIAMOND,411
1072,624,Spain,Female,23,6,0.0,2,0,1,196668.51,0,0,5,SILVER,888
1073,503,Spain,Male,37,6,0.0,2,0,0,136506.86,0,0,3,SILVER,717
1076,702,Spain,Male,39,8,0.0,2,1,0,99654.13,0,0,4,DIAMOND,876
1081,461,Spain,Female,35,8,0.0,1,1,0,132295.95,0,0,3,SILVER,963
1082,688,Spain,Male,36,0,89772.3,1,1,0,177383.68,1,1,5,DIAMOND,663
1088,850,Spain,Male,22,2,0.0,2,1,1,9684.52,0,0,1,GOLD,793
1099,494,Spain,Male,38,7,0.0,2,1,1,6203.66,0,0,3,PLATINUM,527
1101,703,Spain,Male,29,9,0.0,2,1,0,50679.48,0,0,3,DIAMOND,242
1102,432,Spain,Male,38,7,0.0,2,1,0,150580.88,0,0,1,PLATINUM,716
1115,479,Spain,Male,48,5,87070.23,1,0,1,85646.41,0,0,3,SILVER,523
1118,617,Spain,Male,61,7,91070.43,1,1,1,101839.77,0,0,2,DIAMOND,647
1119,756,Spain,Male,29,2,117412.19,2,1,0,4888.91,0,0,1,DIAMOND,565
1124,606,Spain,Male,35,7,0.0,1,1,0,106837.06,1,1,5,SILVER,418
1126,663,Spain,Female,33,8,122528.18,1,1,0,196260.3,0,0,4,SILVER,261
1131,500,Spain,Male,37,9,125822.21,1,1,0,111698.0,0,0,5,PLATINUM,266
1139,727,Spain,Female,57,1,109679.72,1,0,1,753.37,0,0,5,SILVER,841
1142,793,Spain,Male,41,9,0.0,2,1,0,152153.74,0,0,4,GOLD,987
1148,613,Spain,Male,34,3,0.0,1,1,1,41724.72,0,0,2,GOLD,474
1151,826,Spain,Female,29,4,129938.07,1,0,1,190200.53,0,0,1,GOLD,708
1154,538,Spain,Male,39,2,122773.5,2,1,1,58467.08,0,0,5,PLATINUM,419
1157,700,Spain,Male,54,1,79415.67,1,0,1,139735.54,0,0,5,PLATINUM,546
1159,729,Spain,Male,37,10,0.0,2,1,0,100862.54,0,0,3,SILVER,829
1170,699,Spain,Male,26,6,79932.41,1,0,0,150242.44,0,0,4,SILVER,874
1173,478,Spain,Female,36,3,92363.3,2,1,0,44912.7,0,0,4,DIAMOND,480
1174,705,Spain,Female,40,5,203715.15,1,1,0,179978.68,1,1,2,DIAMOND,801
1175,719,Spain,Male,39,5,0.0,2,1,0,145759.7,0,0,1,SILVER,337
1192,785,Spain,Female,61,4,129855.72,2,1,0,170214.82,1,1,4,SILVER,766
1193,363,Spain,Female,28,6,146098.43,3,1,0,100615.14,1,1,2,SILVER,324
